"source","design","reference","replicate","seed","n","p","estimator","start_policy","optimizer","ok","converged","optimizer_status","fmin","iterations","grad_inf_norm","audit_status","elapsed_sec","error_kind","error"
"convergence_sim","dejonckere_simple_2025","De Jonckere and Rosseel (2025), Study 1",1,20360524,20,6,"ML","magmaan_r_default","lbfgs",FALSE,FALSE,,,,,,0.019,"OptimizerNonConvergence","magmaan fit error [OptimizerNonConvergence] after 5000 iters, f=0.230209: max_iter reached without convergence"
"convergence_sim","dejonckere_simple_2025","De Jonckere and Rosseel (2025), Study 1",1,20360524,20,6,"ML","magmaan_r_default","nlopt-lbfgs",TRUE,TRUE,"converged",0.230526527549776,0,,"unknown",0.002,,
"convergence_sim","dejonckere_simple_2025","De Jonckere and Rosseel (2025), Study 1",2,20360525,20,6,"ML","magmaan_r_default","lbfgs",FALSE,FALSE,,,,,,0.017,"OptimizerNonConvergence","magmaan fit error [OptimizerNonConvergence] after 5000 iters, f=0.283204: max_iter reached without convergence"
"convergence_sim","dejonckere_simple_2025","De Jonckere and Rosseel (2025), Study 1",2,20360525,20,6,"ML","magmaan_r_default","nlopt-lbfgs",TRUE,TRUE,"converged",0.286805103610272,0,,"unknown",0.002,,
"convergence_sim","dejonckere_crossloading_2025","De Jonckere and Rosseel (2025), Study 2",1,20960524,20,9,"ML","magmaan_r_default","lbfgs",TRUE,FALSE,"line_search_salvaged",1.2657298795291,0,,"converged",0.002,,
"convergence_sim","dejonckere_crossloading_2025","De Jonckere and Rosseel (2025), Study 2",1,20960524,20,9,"ML","magmaan_r_default","nlopt-lbfgs",TRUE,TRUE,"converged",1.26572987953069,0,,"converged",0.001,,
"convergence_sim","dejonckere_crossloading_2025","De Jonckere and Rosseel (2025), Study 2",2,20960525,20,9,"ML","magmaan_r_default","lbfgs",TRUE,FALSE,"line_search_salvaged",1.64592000088363,0,,"converged",0.003,,
"convergence_sim","dejonckere_crossloading_2025","De Jonckere and Rosseel (2025), Study 2",2,20960525,20,9,"ML","magmaan_r_default","nlopt-lbfgs",TRUE,TRUE,"converged",1.6459200008852,0,,"unknown",0.001,,
"convergence_sim","dejonckere_shrinkage_2023_study1","De Jonckere and Rosseel (2023), Study 1",1,20560524,20,6,"ML","magmaan_r_default","lbfgs",FALSE,FALSE,,,,,,0.019,"OptimizerNonConvergence","magmaan fit error [OptimizerNonConvergence] after 5000 iters, f=0.444556: max_iter reached without convergence"
"convergence_sim","dejonckere_shrinkage_2023_study1","De Jonckere and Rosseel (2023), Study 1",1,20560524,20,6,"ML","magmaan_r_default","nlopt-lbfgs",TRUE,TRUE,"converged",0.456864148343425,0,,"unknown",0.001,,
"convergence_sim","dejonckere_shrinkage_2023_study1","De Jonckere and Rosseel (2023), Study 1",2,20560525,20,6,"ML","magmaan_r_default","lbfgs",TRUE,TRUE,"converged",1.01146303018788,66,,"converged",0.001,,
"convergence_sim","dejonckere_shrinkage_2023_study1","De Jonckere and Rosseel (2023), Study 1",2,20560525,20,6,"ML","magmaan_r_default","nlopt-lbfgs",TRUE,TRUE,"converged",1.01146303018789,0,,"converged",0,,
"convergence_sim","ludtke_cfa_2021","Ludtke, Ulitzsch, and Robitzsch (2021), Simulation Study 1",1,21260524,30,6,"ML","magmaan_r_default","lbfgs",FALSE,FALSE,,,,,,0.015,"LineSearchFailed","magmaan fit error [LineSearchFailed] after 0 iters, f=0.188399: L-BFGS line search failed: the line search routine failed, unable to sufficiently decrease the function value (model may need a box-constrained optimizer or better starts)"
"convergence_sim","ludtke_cfa_2021","Ludtke, Ulitzsch, and Robitzsch (2021), Simulation Study 1",1,21260524,30,6,"ML","magmaan_r_default","nlopt-lbfgs",TRUE,TRUE,"converged",0.152180467036299,0,,"converged",0.001,,
"convergence_sim","ludtke_cfa_2021","Ludtke, Ulitzsch, and Robitzsch (2021), Simulation Study 1",2,21260525,30,6,"ML","magmaan_r_default","lbfgs",FALSE,FALSE,,,,,,0.017,"OptimizerNonConvergence","magmaan fit error [OptimizerNonConvergence] after 5000 iters, f=0.320983: max_iter reached without convergence"
"convergence_sim","ludtke_cfa_2021","Ludtke, Ulitzsch, and Robitzsch (2021), Simulation Study 1",2,21260525,30,6,"ML","magmaan_r_default","nlopt-lbfgs",TRUE,TRUE,"converged",0.323605487729139,0,,"unknown",0.002,,
